Kenya	BreakingKenyaNews	59 years on, the ties that bind Sino-Kenya relations still hold	https://www.breakingkenyanews.com/2022/12/59-years-on-ties-that-bind-sino-kenya.html
Kenya	BreakingKenyaNews	Sino-Africa dialogue fuelling dreams of a shared post-covid future ...	https://www.breakingkenyanews.com/2023/05/sino-africa-dialogue-fuelling-dreams-of.html
Kenya	BusinessDaily	China may rewrite Africa's history Worldview	https://www.businessdailyafrica.com/bd/opinion-analysis/columnists/china-may-rewrite-africa-s-history-worldview-1969158
Kenya	BusinessDaily	Tale of ships wrecked on Kenya coastline	https://www.businessdailyafrica.com/bd/corporate/shipping-logistics/tale-of-ships-wrecked-on-kenya-coastline-2272690
Kenya	BusinessDaily	Will China conquer the world?	https://www.businessdailyafrica.com/bd/opinion-analysis/columnists/will-china-conquer-the-world--1954600
Kenya	BusinessDaily	Why Kenya continues to lose out on billions in underwater ...	https://www.businessdailyafrica.com/bd/lifestyle/society/why-kenya-continues-to-lose-billions-in-underwater-tourism-3893056
Kenya	CapitalFM	Rich history, shared interests define China-Kenya win ...	https://www.capitalfm.co.ke/eblog/rich-history-shared-interests-define-china-kenya-win-win-ties/
Kenya	CapitalFM	Belt and Road Initiative: A Road of Peace for the New Era	https://www.capitalfm.co.ke/news/2023/10/belt-and-road-initiative-a-road-of-peace-for-the-new-era/
Kenya	CapitalFM	Big opportunities in China's 21st Century Silk Road strategy	https://www.capitalfm.co.ke/eblog/big-opportunities-in-chinas-21st-century-silk-road-strategy/
Kenya	CapitalFM	Xi trip highlights China's Africa influence	https://www.capitalfm.co.ke/news/2013/03/xi-trip-highlights-chinas-africa-influence/
Kenya	CapitalFM	Chinese navy to fight Somali piracy	https://www.capitalfm.co.ke/news/2008/12/chinese-navy-to-fight-somali-piracy/
Kenya	CapitalFM	China president in Tanzania at start of Africa tour	https://www.capitalfm.co.ke/news/2013/03/china-president-in-tanzania-at-start-of-africa-tour/
Kenya	CapitalFM	Hu heads for APEC summit	https://www.capitalfm.co.ke/news/2009/11/hu-heads-for-apec-summit/
Kenya	CapitalFM	For Peace and Development in the Horn of Africa, China is ...	https://www.capitalfm.co.ke/news/2022/05/for-peace-and-development-in-the-horn-of-africa-china-is-doing-its-part/
Kenya	CapitalFM	Transformation and Upgrading of China-Africa Cooperation	https://www.capitalfm.co.ke/eblog/johannesburg-summit-transformation-and-upgrading-of-china-africa-cooperation/
Kenya	DailyNation	Construction stopped on replica of ancient Chinese ship	https://nation.africa/kenya/life-and-style/art-culture/construction-stopped-on-replica-of-ancient-chinese-ship--994368
Kenya	DailyNation	Experts set to unravel puzzle of a Chinese ship that sank ...	https://nation.africa/kenya/news/provincial/experts-set-to-unravel-puzzle-of-a-chinese-ship-that-sank-near-lamu--642302
Kenya	DailyNation	Let's get to know the mythical elephant	https://nation.africa/kenya/blogs-opinion/opinion/let-s-get-to-know-the-mythical-elephant--309648
